종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 풍산,IR,BONDAV413768,공모/무보증A+,20260401,3.046,3.14,3.293,3.566,3.803,4.077,4.088,4.259,4.412,4.738,4.89,5.665,6.073,6.427,
시가평가 4사평균 하나금융지주,IR,BONDAV411118,공모/무보증AAA,20260401,2.927,3.001,3.082,3.323,3.497,3.703,3.711,3.776,3.781,3.855,3.891,4.194,4.355,4.606,
시가평가 4사평균 하나에프앤아이,IR,BONDAV402508,공모/무보증A+,20260401,3.114,3.193,3.343,3.621,3.866,4.115,4.13,4.276,4.447,4.758,4.912,5.673,6.053,6.416,
시가평가 4사평균 하나은행,IR,BONDAV400494,은행채AAA,20260401,2.81,2.9,2.994,3.185,3.423,3.573,3.582,3.702,3.714,3.855,3.864,4.127,4.271,4.404,
시가평가 4사평균 하나증권,IR,BONDAV403075,공모/무보증AA0,20260401,3.095,3.166,3.27,3.522,3.708,3.939,3.951,4.045,4.062,4.165,4.219,4.893,5.376,5.658,
시가평가 4사평균 하나카드,IR,BONDAV446225,카드채AA0,20260401,2.997,3.058,3.152,3.434,3.632,3.865,3.847,3.97,3.954,4.078,4.365,5.205,5.561,5.842,
시가평가 4사평균 하나캐피탈,IR,BONDAV401980,기타금융채AA-,20260401,3.008,3.07,3.176,3.454,3.635,3.865,3.863,3.993,4.003,4.121,4.51,5.36,5.725,6.019,
시가평가 4사평균 하남도시공사,IR,BONDAV419305,공사/공단채AA0,20260401,2.888,2.978,3.121,3.313,3.56,3.848,3.923,4.025,4.051,4.157,4.203,4.337,4.374,4.418,
시가평가 4사평균 하림지주,IR,BONDAV400338,공모/무보증A-,20260401,3.812,3.926,4.143,4.455,4.78,5.131,5.281,5.592,5.88,6.339,6.442,7.207,7.542,7.945,
시가평가 4사평균 하이트진로,IR,BONDAV400008,공모/무보증A+,20260401,2.99,3.065,3.208,3.482,3.703,3.978,3.986,4.099,4.252,4.52,4.662,5.428,5.813,6.169,
시가평가 4사평균 하이트진로홀딩스,IR,BONDAV400014,공모/무보증A0,20260401,3.109,3.208,3.385,3.671,3.926,4.203,4.261,4.479,4.76,5.146,5.317,6.102,6.41,6.772,
시가평가 4사평균 한국가스공사,IR,BONDAV403776,공사/공단채AAA,20260401,2.815,2.915,3.024,3.207,3.395,3.62,3.647,3.729,3.747,3.824,3.843,3.932,3.923,3.934,3.854
시가평가 4사평균 한국공항공사,IR,BONDAV461461,공사/공단채AAA,20260401,2.817,2.911,3.025,3.211,3.401,3.629,3.653,3.732,3.754,3.835,3.86,3.949,3.945,3.953,3.879
시가평가 4사평균 한국금융지주,IR,BONDAV407267,공모/무보증AA-,20260401,3.156,3.237,3.351,3.619,3.804,4.074,4.087,4.191,4.209,4.335,4.484,5.356,5.946,6.284,
시가평가 4사평균 한국남동발전,IR,BONDAV406432,공모/무보증AAA,20260401,2.972,3.051,3.139,3.387,3.564,3.777,3.784,3.854,3.857,3.931,3.915,4.163,4.3,4.523,
시가평가 4사평균 한국남부발전,IR,BONDAV406181,공모/무보증AAA,20260401,2.972,3.051,3.139,3.387,3.564,3.777,3.784,3.854,3.857,3.931,3.915,4.163,4.3,4.523,
시가평가 4사평균 한국도로공사,IR,BONDAV403920,공사/공단채AAA,20260401,2.772,2.867,2.982,3.164,3.348,3.586,3.619,3.706,3.725,3.801,3.803,3.899,3.869,3.848,3.75
시가평가 4사평균 한국동서발전,IR,BONDAV406508,공모/무보증AAA,20260401,2.972,3.051,3.139,3.387,3.564,3.777,3.784,3.854,3.857,3.931,3.915,4.163,4.3,4.523,
시가평가 4사평균 한국산업단지공단,IR,BONDAV413327,공사/공단채AAA,20260401,2.786,2.881,2.994,3.175,3.363,3.594,3.619,3.7,3.717,3.796,3.814,3.896,3.885,3.898,3.819
시가평가 4사평균 한국서부발전,IR,BONDAV405536,공모/무보증AAA,20260401,2.972,3.051,3.139,3.387,3.564,3.777,3.784,3.854,3.857,3.931,3.915,4.163,4.3,4.523,
시가평가 4사평균 한국석유공사,IR,BONDAV404324,공사/공단채AAA,20260401,2.784,2.876,2.989,3.172,3.361,3.59,3.616,3.697,3.714,3.794,3.81,3.891,3.879,3.893,3.813
시가평가 4사평균 한국수력원자력,IR,BONDAV405537,공모/무보증AAA,20260401,2.923,3.001,3.086,3.327,3.499,3.69,3.699,3.766,3.766,3.814,3.808,3.915,4.04,4.279,
시가평가 4사평균 한국수자원공사,IR,BONDAV452517,공사/공단채AAA,20260401,2.776,2.871,2.984,3.164,3.347,3.583,3.615,3.703,3.721,3.799,3.802,3.884,3.856,3.847,3.754
시가평가 4사평균 한국수출입은행,IR,BONDAV403430,은행채AAA,20260401,2.788,2.875,2.962,3.136,3.359,3.527,3.517,3.615,3.618,3.779,3.758,4.033,4.173,4.301,
시가평가 4사평균 한국씨티은행,IR,BONDAV401683,은행채AA+,20260401,2.809,2.91,2.996,3.181,3.458,3.638,3.658,3.751,3.763,3.913,3.911,4.201,4.401,4.577,
시가평가 4사평균 한국자산관리공사,IR,BONDAV403602,공사/공단채AAA,20260401,2.754,2.846,2.957,3.14,3.325,3.555,3.579,3.663,3.675,3.746,3.789,3.886,3.882,3.897,3.82
시가평가 4사평균 한국자산신탁,IR,BONDAV418540,공모/무보증A0,20260401,4.347,4.459,4.664,5.06,5.462,5.863,5.966,6.197,6.41,6.788,6.95,7.72,7.968,8.322,
시가평가 4사평균 한국장학재단,IR,BONDAV414957,공사/공단채정부보증,20260401,2.727,2.803,2.902,3.092,3.272,3.493,3.499,3.566,3.603,3.759,3.756,3.822,3.814,3.819,2.337
시가평가 4사평균 한국전력공사,IR,BONDAV401576,공사/공단채AAA,20260401,2.821,2.913,3.03,3.209,3.398,3.621,3.656,3.731,3.765,3.848,3.896,4.011,4.019,4.031,3.949
시가평가 4사평균 한국주택금융공사,IR,BONDAV408918,공사/공단채AAA,20260401,2.766,2.855,2.964,3.148,3.337,3.559,3.576,3.653,3.673,3.76,3.797,3.893,3.885,3.898,3.819
